customer_id,plan,monthly_spend,months_active
C00001,Business,195.19,34
C00002,Starter,22.87,2
C00003,Business,46.79,6
C00004,Starter,20.81,39
C00005,Free,26.97,31
C00006,Enterprise,29.68,9
C00007,Business,22.49,21
C00008,Business,22.56,3
C00009,Free,40.7,32
C00010,Starter,20.27,36
C00011,Starter,77.28,14
C00012,Business,24.62,17
C00013,Starter,277.61,12
C00014,Business,33.33,19
C00015,Starter,46.84,13
C00016,Free,19.26,12
C00017,Starter,135.5,21
C00018,Free,92.54,41
C00019,Business,54.22,36
C00020,Starter,18.63,14
C00021,Business,51.26,45
C00022,Starter,21.56,10
C00023,Enterprise,115.65,43
C00024,Business,75.64,15
C00025,Business,47.56,26
C00026,Free,9.17,10
C00027,Starter,23.59,36
C00028,Free,69.9,15
C00029,Free,98.33,42
C00030,Starter,91.92,4
C00031,Business,15.88,24
C00032,Enterprise,54.38,8
C00033,Starter,86.49,42
C00034,Starter,15.21,20
C00035,Starter,44.47,32
C00036,Free,53.41,42
C00037,Free,36.76,26
C00038,Starter,13.41,3
C00039,Free,36.17,11
C00040,Starter,36.13,10
C00041,Starter,40.6,43
C00042,Business,30.99,43
C00043,Business,33.52,23
C00044,Starter,43.56,42
C00045,Business,59.6,12
C00046,Business,36.68,32
C00047,Starter,34.25,19
C00048,Free,47.47,12
C00049,Starter,12.83,12
C00050,Free,60.95,20
C00051,Free,44.68,16
C00052,Free,45.87,10
C00053,Business,83.47,16
C00054,Starter,12.56,7
C00055,Business,12.39,46
C00056,Business,53.41,18
C00057,Starter,44.49,6
C00058,Starter,49.93,28
C00059,Free,33.1,42
C00060,Free,68.84,17
C00061,Starter,81.96,40
C00062,Starter,61.23,29
C00063,Starter,37.73,35
C00064,Business,11.36,14
C00065,Starter,73.7,2
C00066,Starter,98.9,17
C00067,Starter,67.96,44
C00068,Starter,25.24,38
C00069,Free,69.27,37
C00070,Starter,78.21,42
C00071,Free,123.13,18
C00072,Starter,25.29,16
C00073,Business,38.58,44
C00074,Free,72.66,27
C00075,Free,46.4,15
C00076,Free,21.62,14
C00077,Free,58.53,42
C00078,Starter,65.11,3
C00079,Starter,47.33,3
C00080,Business,51.56,35
C00081,Starter,37.78,1
C00082,Starter,116.85,9
C00083,Business,24.89,47
C00084,Free,30.52,21
C00085,Free,45.02,35
C00086,Free,79.15,23
C00087,Business,16.89,5
C00088,Starter,19.07,9
C00089,Free,11.89,36
C00090,Starter,45.66,5
C00091,Free,21.61,28
C00092,Starter,34.81,17
C00093,Starter,68.71,18
C00094,Starter,29.46,45
C00095,Starter,51.95,29
C00096,Starter,36.8,29
C00097,Starter,69.19,17
C00098,Free,60.88,18
C00099,Free,28.51,33
C00100,Enterprise,40.06,2
C00101,Business,88.1,12
C00102,Starter,57.73,29
C00103,Free,18.03,30
C00104,Enterprise,68.45,5
C00105,Business,22.09,38
C00106,Business,111.96,26
C00107,Starter,86.98,12
C00108,Free,53.97,36
C00109,Free,49.51,47
C00110,Business,39.02,20
C00111,Starter,69.48,14
C00112,Free,35.13,15
C00113,Starter,52.1,28
C00114,Starter,78.79,3
C00115,Free,31.03,23
C00116,Business,29.95,2
C00117,Business,20.57,2
C00118,Business,22.38,21
C00119,Starter,13.62,36
C00120,Starter,71.84,42
C00121,Starter,144.86,5
C00122,Starter,112.9,12
C00123,Free,15.53,20
C00124,Starter,71.6,27
C00125,Free,112.66,47
C00126,Starter,33.22,33
C00127,Starter,47.75,26
C00128,Free,12.12,3
C00129,Free,53.16,4
C00130,Starter,22.39,8
C00131,Free,50.89,32
C00132,Business,16.2,16
C00133,Starter,63.62,12
C00134,Starter,87.0,32
C00135,Starter,26.87,39
C00136,Free,21.35,21
C00137,Enterprise,11.01,42
C00138,Starter,37.59,35
C00139,Business,30.63,34
C00140,Free,16.31,41
C00141,Starter,60.01,9
C00142,Starter,33.37,36
C00143,Enterprise,22.22,46
C00144,Starter,31.17,47
C00145,Starter,89.69,28
C00146,Free,66.15,36
C00147,Starter,41.08,42
C00148,Starter,66.85,41
C00149,Starter,21.02,43
C00150,Free,45.65,40
C00151,Business,49.19,18
C00152,Business,32.94,35
C00153,Free,59.33,20
C00154,Starter,26.92,38
C00155,Free,62.26,39
C00156,Starter,63.99,44
C00157,Free,6.71,28
C00158,Starter,96.9,23
C00159,Business,6.17,8
C00160,Business,29.95,30
C00161,Free,87.05,27
C00162,Business,36.37,25
C00163,Free,17.24,32
C00164,Free,21.96,40
C00165,Starter,87.14,7
C00166,Starter,12.82,21
C00167,Business,93.12,34
C00168,Business,43.13,39
C00169,Starter,20.59,37
C00170,Enterprise,30.6,38
C00171,Free,23.08,41
C00172,Starter,78.5,46
C00173,Free,71.96,29
C00174,Enterprise,14.62,12
C00175,Free,34.39,27
C00176,Free,25.51,34
C00177,Starter,103.63,5
C00178,Enterprise,18.59,36
C00179,Business,126.82,26
C00180,Business,43.74,45
C00181,Business,21.0,10
C00182,Business,28.78,43
C00183,Starter,26.55,22
C00184,Starter,19.52,27
C00185,Business,47.54,32
C00186,Starter,20.12,28
C00187,Starter,10.83,43
C00188,Free,34.93,8
C00189,Business,13.85,35
C00190,Free,27.42,46
C00191,Enterprise,24.76,11
C00192,Free,25.37,12
C00193,Free,164.12,23
C00194,Business,46.37,35
C00195,Free,52.43,46
C00196,Free,14.09,38
C00197,Starter,29.22,38
C00198,Business,51.42,21
C00199,Free,22.97,31
C00200,Starter,80.66,10
C00201,Business,20.46,22
C00202,Enterprise,37.11,9
C00203,Starter,30.54,2
C00204,Free,49.74,41
C00205,Free,29.48,38
C00206,Free,37.48,25
C00207,Free,38.34,1
C00208,Starter,27.73,5
C00209,Free,61.27,6
C00210,Starter,52.19,34
C00211,Starter,42.2,10
C00212,Starter,33.79,12
C00213,Free,75.02,41
C00214,Business,38.35,42
C00215,Business,36.62,36
C00216,Business,47.85,15
C00217,Free,134.66,28
C00218,Free,18.7,10
C00219,Business,73.73,41
C00220,Starter,13.06,4
C00221,Starter,51.48,35
C00222,Starter,124.44,25
C00223,Starter,61.41,36
C00224,Enterprise,49.94,22
C00225,Free,31.05,8
C00226,Business,45.61,36
C00227,Free,37.95,30
C00228,Starter,26.82,22
C00229,Starter,37.02,18
C00230,Free,50.85,17
C00231,Free,27.15,23
C00232,Starter,26.47,13
C00233,Enterprise,18.46,14
C00234,Starter,57.63,14
C00235,Enterprise,63.72,1
C00236,Business,51.97,44
C00237,Starter,83.71,12
C00238,Business,47.33,8
C00239,Free,57.67,8
C00240,Free,54.46,47
C00241,Business,42.12,23
C00242,Business,31.66,16
C00243,Free,188.52,19
C00244,Starter,33.32,5
C00245,Starter,29.0,15
C00246,Business,59.27,12
C00247,Starter,52.65,38
C00248,Starter,17.94,3
C00249,Starter,92.73,20
C00250,Starter,42.05,38
C00251,Starter,21.71,40
C00252,Business,96.81,25
C00253,Starter,67.13,11
C00254,Free,19.65,16
C00255,Free,141.91,11
C00256,Business,68.59,32
C00257,Business,44.41,14
C00258,Free,125.67,30
C00259,Free,49.58,31
C00260,Starter,43.89,45
C00261,Free,29.1,18
C00262,Business,65.25,46
C00263,Starter,60.93,19
C00264,Free,45.13,32
C00265,Business,26.75,32
C00266,Free,48.64,39
C00267,Free,42.72,23
C00268,Free,18.79,38
C00269,Free,17.17,17
C00270,Free,64.54,24
C00271,Free,8.24,24
C00272,Free,51.09,34
C00273,Free,32.76,30
C00274,Starter,104.62,4
C00275,Starter,32.44,39
C00276,Starter,68.63,36
C00277,Starter,34.54,5
C00278,Starter,48.13,46
C00279,Business,72.16,32
C00280,Business,33.09,4
C00281,Free,85.44,24
C00282,Free,23.43,40
C00283,Free,54.14,14
C00284,Free,81.43,44
C00285,Starter,68.65,20
C00286,Starter,155.35,11
C00287,Free,27.21,17
C00288,Starter,18.24,25
C00289,Starter,23.42,33
C00290,Free,68.67,44
C00291,Business,61.78,10
C00292,Free,47.77,46
C00293,Business,21.54,25
C00294,Free,73.59,7
C00295,Business,20.16,44
C00296,Business,94.95,17
C00297,Enterprise,286.38,30
C00298,Business,56.72,33
C00299,Business,65.3,1
C00300,Starter,32.45,11
C00301,Business,13.78,33
C00302,Free,30.21,16
C00303,Starter,21.97,1
C00304,Starter,17.45,2
C00305,Business,136.94,39
C00306,Starter,53.38,8
C00307,Starter,57.21,5
C00308,Starter,36.57,27
C00309,Free,39.95,6
C00310,Free,83.68,31
C00311,Starter,43.77,26
C00312,Starter,63.11,31
C00313,Free,39.35,24
C00314,Starter,35.79,37
C00315,Starter,17.91,31
C00316,Starter,12.36,20
C00317,Starter,37.71,1
C00318,Starter,46.37,13
C00319,Free,19.38,7
C00320,Enterprise,43.71,1
C00321,Business,46.29,13
C00322,Starter,11.01,10
C00323,Starter,24.66,4
C00324,Starter,58.25,15
C00325,Business,57.49,24
C00326,Starter,21.12,9
C00327,Business,49.55,13
C00328,Starter,86.88,1
C00329,Starter,74.08,3
C00330,Free,42.02,8
C00331,Business,32.98,22
C00332,Free,29.69,32
C00333,Starter,60.59,38
C00334,Business,50.75,30
C00335,Free,67.3,29
C00336,Starter,48.7,44
C00337,Free,76.11,13
C00338,Business,47.54,38
C00339,Free,74.44,45
C00340,Enterprise,78.73,27
C00341,Free,26.5,40
C00342,Enterprise,13.8,7
C00343,Business,121.91,42
C00344,Starter,52.82,27
C00345,Business,14.67,11
C00346,Business,28.11,3
C00347,Enterprise,73.83,34
C00348,Free,37.27,21
C00349,Starter,32.05,15
C00350,Free,111.12,19
C00351,Starter,22.63,47
C00352,Free,26.61,21
C00353,Starter,51.29,4
C00354,Starter,57.62,14
C00355,Starter,61.72,7
C00356,Starter,80.83,33
C00357,Business,50.86,38
C00358,Business,61.44,40
C00359,Starter,37.77,30
C00360,Starter,46.56,37
C00361,Enterprise,47.94,20
C00362,Free,51.41,30
C00363,Free,73.86,6
C00364,Free,64.13,26
C00365,Starter,46.0,27
C00366,Starter,26.42,2
C00367,Business,46.71,26
C00368,Starter,43.89,34
C00369,Starter,50.68,18
C00370,Business,187.59,26
C00371,Business,31.8,14
C00372,Free,58.82,13
C00373,Starter,89.52,7
C00374,Starter,47.64,16
C00375,Free,204.3,38
C00376,Free,34.96,44
C00377,Enterprise,55.18,30
C00378,Starter,26.6,30
C00379,Starter,35.57,29
C00380,Business,52.55,23
C00381,Starter,77.49,20
C00382,Enterprise,55.0,30
C00383,Business,101.33,37
C00384,Starter,42.03,20
C00385,Starter,36.02,27
C00386,Enterprise,259.2,23
C00387,Business,57.76,14
C00388,Enterprise,28.0,14
C00389,Free,28.47,4
C00390,Business,24.22,21
C00391,Starter,82.17,34
C00392,Free,35.27,33
C00393,Starter,48.56,47
C00394,Starter,42.89,2
C00395,Free,71.91,36
C00396,Starter,25.78,38
C00397,Business,22.22,21
C00398,Free,51.72,14
C00399,Starter,66.06,17
C00400,Starter,55.49,33
C00401,Starter,26.41,41
C00402,Business,69.43,31
C00403,Business,27.56,25
C00404,Free,31.85,31
C00405,Enterprise,24.2,4
C00406,Business,104.14,29
C00407,Free,67.47,2
C00408,Business,66.24,46
C00409,Free,100.55,42
C00410,Enterprise,278.17,24
C00411,Starter,14.72,18
C00412,Starter,27.66,35
C00413,Free,29.95,30
C00414,Business,25.71,34
C00415,Free,22.19,25
C00416,Free,36.79,12
C00417,Free,20.27,4
C00418,Business,55.58,14
C00419,Free,46.23,25
C00420,Business,61.11,20
C00421,Starter,62.18,24
C00422,Free,66.15,14
C00423,Free,35.07,45
C00424,Free,177.46,18
C00425,Starter,52.06,40
C00426,Business,13.32,19
C00427,Free,23.3,21
C00428,Business,14.42,29
C00429,Free,45.21,13
C00430,Business,41.3,11
C00431,Business,32.97,18
C00432,Business,165.19,38
C00433,Starter,63.87,7
C00434,Business,71.66,21
C00435,Free,24.41,32
C00436,Free,23.35,34
C00437,Free,45.78,21
C00438,Starter,50.02,4
C00439,Business,13.38,1
C00440,Starter,39.76,23
C00441,Business,45.11,39
C00442,Free,38.87,2
C00443,Business,26.35,42
C00444,Free,31.48,32
C00445,Free,39.85,1
C00446,Business,47.42,17
C00447,Enterprise,66.23,11
