ticket_id,customer_id,created_date,product,channel,priority,customer_plan,previous_tickets_30d,message_length,agent_experience_months,monthly_spend,months_active,sla_breach,breach_probability,priority_score,recommended_action,risk_reasons
T0000001,C00338,2026-05-04,Authentication,Chat,Medium,Business,3,586,33,47.54,38,0,0.5034080634189748,67.34080634189749,MONITOR,No major risk drivers
T0000002,C00054,2026-05-25,Messaging,Chat,Medium,Starter,1,70,27,12.56,7,0,0.4044684019334061,53.44684019334061,MONITOR,No major risk drivers
T0000003,C00745,2026-04-10,Analytics,Chat,High,Starter,0,293,50,52.55,26,0,0.5032573611931052,73.3257361193105,MONITOR,High priority
T0000004,C01782,2026-06-16,Messaging,Web,Medium,Business,1,234,51,78.34,15,0,0.36243187480784955,53.243187480784954,MONITOR,No major risk drivers
T0000005,C01231,2026-02-27,Authentication,Chat,Medium,Free,1,142,64,125.32,40,1,0.3606461839256977,46.06461839256977,MONITOR,No major risk drivers
T0000006,C00889,2026-01-10,Authentication,Chat,Low,Free,0,454,59,40.38,42,0,0.27148422159830915,27.148422159830915,NORMAL QUEUE,No major risk drivers
T0000007,C00260,2026-04-24,Payments API,Web,Medium,Starter,2,200,37,43.89,45,0,0.5214953426172801,65.14953426172801,MONITOR,Payments product
T0000008,C00640,2026-01-22,Payments API,Phone,Medium,Business,3,209,45,33.54,15,0,0.5360246758206815,70.60246758206814,MONITOR,Payments product • Phone support
T0000009,C00945,2026-01-16,Storage,Chat,Medium,Starter,2,572,70,21.7,29,0,0.2861479279228839,41.61479279228839,NORMAL QUEUE,No major risk drivers
T0000010,C00495,2026-05-07,Storage,Chat,High,Business,3,311,53,42.31,40,0,0.4946666696969021,76.46666696969021,MONITOR,High priority
T0000011,C01270,2026-03-20,Authentication,Web,Urgent,Starter,1,642,13,72.11,2,0,0.881086894634009,121.1086894634009,ESCALATE,Urgent priority • Long customer message
T0000012,C01765,2026-04-19,Authentication,Email,High,Free,2,889,3,45.89,44,1,0.802320143358797,100.2320143358797,ESCALATE,High priority • Long customer message • Less-experienced agent
T0000013,C00371,2026-05-15,Authentication,Web,Medium,Business,0,416,47,31.8,14,0,0.39683226660886206,56.683226660886206,MONITOR,No major risk drivers
T0000014,C00455,2026-03-10,Authentication,Chat,Medium,Free,1,844,69,84.5,8,0,0.40781093995420836,50.78109399542084,MONITOR,Long customer message
T0000015,C00228,2026-04-20,Messaging,Email,Medium,Starter,2,278,55,26.82,22,0,0.41291713852364054,54.291713852364055,MONITOR,No major risk drivers
T0000016,C01307,2026-04-08,Authentication,Email,High,Starter,2,473,15,49.94,25,1,0.7706615425868802,100.06615425868803,ESCALATE,High priority
T0000017,C00832,2026-04-15,Payments API,Email,Medium,Starter,0,451,3,54.66,14,0,0.6215392427607984,75.15392427607983,PRIORITIZE,Payments product • Less-experienced agent
T0000018,C00511,2026-05-07,Payments API,Web,Low,Free,0,758,21,38.89,35,0,0.4697966853947808,46.979668539478084,MONITOR,Long customer message • Payments product
T0000019,C00395,2026-03-10,Storage,Web,Low,Free,1,290,51,71.91,36,0,0.26726238462223506,26.726238462223506,NORMAL QUEUE,No major risk drivers
T0000020,C00127,2026-04-01,Messaging,Web,High,Starter,2,273,20,47.75,26,0,0.6836240058150644,91.36240058150645,PRIORITIZE,High priority
T0000021,C00858,2026-04-17,Payments API,Web,Medium,Business,1,452,27,13.37,9,0,0.5278147825802508,69.78147825802509,MONITOR,Payments product
T0000022,C01230,2026-01-26,Payments API,Chat,Medium,Free,3,678,22,51.26,4,0,0.6378327203948765,73.78327203948766,PRIORITIZE,Long customer message • Payments product
T0000023,C00424,2026-02-08,Analytics,Phone,Medium,Free,3,829,53,177.46,18,0,0.5464915660431655,64.64915660431654,MONITOR,Long customer message • Phone support
T0000024,C00003,2026-01-17,Authentication,Web,Low,Business,1,809,15,46.79,6,0,0.4954099611999846,56.54099611999846,MONITOR,Long customer message
T0000025,C00852,2026-02-05,Authentication,Chat,High,Free,2,56,29,76.53,14,0,0.6846170701771902,88.46170701771902,PRIORITIZE,High priority
T0000026,C01217,2026-03-20,Payments API,Web,High,Starter,2,754,4,30.58,29,0,0.8086704835055466,103.86704835055465,ESCALATE,High priority • Long customer message • Payments product • Less-experienced agent
T0000027,C00621,2026-06-18,Payments API,Web,Low,Business,1,265,18,28.38,16,0,0.46552478657848434,53.55247865784843,MONITOR,Payments product
T0000028,C00451,2026-06-16,Analytics,Chat,Low,Free,3,580,68,59.41,14,0,0.3339394594609914,33.39394594609914,NORMAL QUEUE,No major risk drivers
