ticket_id,customer_id,created_at,product,channel,priority,previous_tickets_30d,message_length,agent_experience_months,customer_plan,sla_breach
T0000001,C00338,2026-05-04 19:00:00,Authentication,Chat,Medium,3,586,33,Business,0
T0000002,C00054,2026-05-25 17:00:00,Messaging,Chat,Medium,1,70,27,Starter,0
T0000003,C00745,2026-04-10 10:00:00,Analytics,Chat,High,0,293,50,Starter,0
T0000004,C01782,2026-06-16 02:00:00,Messaging,Web,Medium,1,234,51,Business,0
T0000005,C01231,2026-02-27 01:00:00,Authentication,Chat,Medium,1,142,64,Free,1
T0000006,C00889,2026-01-10 14:00:00,Authentication,Chat,Low,0,454,59,Free,0
T0000007,C00260,2026-04-24 23:00:00,Payments API,Web,Medium,2,200,37,Starter,0
T0000008,C00640,2026-01-22 19:00:00,Payments API,Phone,Medium,3,209,45,Business,0
T0000009,C00945,2026-01-16 03:00:00,Storage,Chat,Medium,2,572,70,Starter,0
T0000010,C00495,2026-05-07 08:00:00,Storage,Chat,High,3,311,53,Business,0
T0000011,C01270,2026-03-20 04:00:00,Authentication,Web,Urgent,1,642,13,Starter,0
T0000012,C01765,2026-04-19 19:00:00,Authentication,Email,High,2,889,3,Free,1
T0000013,C00371,2026-05-15 14:00:00,Authentication,Web,Medium,0,416,47,Business,0
T0000014,C00455,2026-03-10 20:00:00,Authentication,Chat,Medium,1,844,69,Free,0
T0000015,C00228,2026-04-20 23:00:00,Messaging,Email,Medium,2,278,55,Starter,0
T0000016,C01307,2026-04-08 01:00:00,Authentication,Email,High,2,473,15,Starter,1
T0000017,C00832,2026-04-15 09:00:00,Payments API,Email,Medium,0,451,3,Starter,0
T0000018,C00511,2026-05-07 14:00:00,Payments API,Web,Low,0,758,21,Free,0
T0000019,C00395,2026-03-10 11:00:00,Storage,Web,Low,1,290,51,Free,0
T0000020,C00127,2026-04-01 19:00:00,Messaging,Web,High,2,273,20,Starter,0
T0000021,C00858,2026-04-17 09:00:00,Payments API,Web,Medium,1,452,27,Business,0
T0000022,C01230,2026-01-26 05:00:00,Payments API,Chat,Medium,3,678,22,Free,0
T0000023,C00424,2026-02-08 02:00:00,Analytics,Phone,Medium,3,829,53,Free,0
T0000024,C00003,2026-01-17 02:00:00,Authentication,Web,Low,1,809,15,Business,0
T0000025,C00852,2026-02-05 15:00:00,Authentication,Chat,High,2,56,29,Free,0
T0000026,C01217,2026-03-20 23:00:00,Payments API,Web,High,2,754,4,Starter,0
T0000027,C00621,2026-06-18 18:00:00,Payments API,Web,Low,1,265,18,Business,0
T0000028,C00451,2026-06-16 02:00:00,Analytics,Chat,Low,3,580,68,Free,0
T0000029,C00278,2026-05-18 07:00:00,Authentication,Email,Medium,1,685,12,Starter,1
T0000030,C01343,2026-04-11 09:00:00,Analytics,Chat,Low,0,750,31,Starter,0
T0000031,C01551,2026-02-06 10:00:00,Authentication,Phone,Medium,4,252,20,Free,0
